1 0 1176 
2 1176 1172 
3 2348 1197 
4 3545 1167 
5 4712 1212 
6 5924 1197 
7 7121 1207 
8 8328 1153 
9 9481 1149 
10 10630 1152 
11 11782 1157 
12 12939 1235 
13 14174 1196 
14 15370 1178 
15 16548 1144 
16 17692 1193 
17 18885 1139 
18 20024 1175 
19 21199 1154 
20 22353 1146 
21 23499 1170 
22 24669 1159 
23 25828 1173 
24 27001 1164 
25 28165 1176 
26 29341 1213 
27 30554 1180 
28 31734 1190 
29 32924 1165 
30 34089 1176 
31 35265 1209 
32 36474 1192 
33 37666 1188 
34 38854 1221 
35 40075 1176 
36 41251 1151 
37 42402 1184 
38 43586 1169 
39 44755 1177 
40 45932 1152 
41 47084 1182 
42 48266 1170 
43 49436 1169 
44 50605 1170 
45 51775 1161 
46 52936 1170 
47 54106 1210 
48 55316 1155 
49 56471 1197 
50 57668 1184 
51 58852 1126 
52 59978 1181 
53 61159 1180 
54 62339 1199 
55 63538 1173 
56 64711 1212 
57 65923 1136 
58 67059 1153 
59 68212 1199 
60 69411 1176 
61 70587 1181 
62 71768 1178 
63 72946 1173 
64 74119 1199 
65 75318 1212 
66 76530 1153 
67 77683 1195 
68 78878 1154 
69 80032 1230 
70 81262 1186 
71 82448 1150 
72 83598 1190 
73 84788 1174 
74 85962 1184 
75 87146 1172 
76 88318 1152 
77 89470 1172 
78 90642 1165 
79 91807 1184 
80 92991 1158 
81 94149 1217 
82 95366 1191 
83 96557 1158 
84 97715 1175 
85 98890 1175 
86 100065 1176 
87 101241 1181 
88 102422 1166 
89 103588 1200 
90 104788 1170 
91 105958 1156 
92 107114 1211 
93 108325 1176 
94 109501 1140 
95 110641 1174 
96 111815 1181 
97 112996 1198 
98 114194 1182 
99 115376 1178 
100 116554 1176 
101 117730 1174 
102 118904 1183 
103 120087 1185 
104 121272 1159 
105 122431 1178 
106 123609 1174 
107 124783 1176 
108 125959 1161 
109 127120 1179 
110 128299 1173 
111 129472 1175 
112 130647 1177 
113 131824 1187 
114 133011 1217 
115 134228 1117 
116 135345 1199 
117 136544 1177 
118 137721 1215 
119 138936 1203 
120 140139 1179 
121 141318 1180 
122 142498 1227 
123 143725 1152 
124 144877 1167 
125 146044 1183 
126 147227 1163 
127 148390 1172 
128 149562 1173 
129 150735 1199 
130 151934 1202 
131 153136 1178 
132 154314 1185 
133 155499 1227 
134 156726 1232 
135 157958 1179 
136 159137 1170 
137 160307 1165 
138 161472 1171 
139 162643 1166 
140 163809 1167 
141 164976 1203 
142 166179 1183 
143 167362 1160 
144 168522 1160 
145 169682 1163 
146 170845 1175 
147 172020 1173 
148 173193 1187 
149 174380 1208 
150 175588 1174 
151 176762 1205 
152 177967 1195 
153 179162 1207 
154 180369 1190 
155 181559 1185 
156 182744 1158 
157 183902 272 
158 184174 255 
159 184429 1184 
160 185613 1214 
161 186827 1218 
162 188045 1177 
163 189222 1197 
164 190419 1167 
165 191586 1175 
166 192761 1159 
167 193920 1169 
168 195089 1208 
169 196297 1163 
170 197460 1179 
171 198639 1163 
172 199802 1151 
173 200953 1169 
